iso,country_name,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
AFG,Afghanistan,14.3,2010,169.0,0.472,3.5,3.5,3.5,3.5,3.0,2.5,2.5,2.7,2.0,3.0,3.0,2.5,2.5,2.6,1.5,3.5,3.0,2.5,2.5,2.6,3.0,2.8,352000.0,352000.0,102000.0,102000.0,71000.0,71000.0,0.0,0.0,102246.0,57709.0,44537.0,29185.51,14935.76,14249.76,0.35,0.39,0.31,43.56,6434.0,6.29,,,53.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,-0.46,-0.147,,526.1036756,15354604612.0,109.3,9.7,9.4,9.7,8.3,8.2,7.2,10.0,8.9,9.2,9.5,9.2,10.0,-1.636177,-1.454611,-1.8454270000000002,,,,,,2.0,2.0,2.5
AFG,Afghanistan,13.85,2011,169.0,0.477,3.5,3.5,3.5,3.5,3.0,2.0,2.5,2.5,2.0,3.0,3.0,2.5,2.0,2.5,1.5,3.5,3.5,2.5,2.5,2.7,3.0,2.8,450000.0,450000.0,186000.0,186000.0,3000.0,3000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,-0.46,-0.147,,511.9985148,15420069703.0,107.5,9.8,9.4,9.3,8.0,8.4,7.2,9.7,8.5,8.8,9.1,9.3,10.0,-1.579174,-1.448444,-1.8965459999999998,,,,,,2.0,2.5,2.5
AFG,Afghanistan,13.24,2012,169.0,0.489,3.5,3.5,3.5,3.5,3.5,2.0,3.0,2.8,2.0,3.5,3.5,3.0,2.5,2.9,1.5,4.0,3.5,3.0,2.5,2.9,3.5,3.0,492000.0,492000.0,100000.0,100400.0,30000.0,29519.0,0.0,0.0,,,,,,,,,,,,,,,35.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,-0.46,-0.147,,557.9496921,17386481261.0,106.0,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9.0,10.0,-1.419741,-1.360196,-1.6430810000000002,,,,,,2.0,2.5,2.5
AFG,Afghanistan,14.18,2013,169.0,0.496,3.5,3.0,3.5,3.3,3.5,2.0,3.0,2.8,2.0,3.0,3.0,2.5,2.0,2.5,1.5,4.0,3.5,2.5,2.0,2.7,3.5,2.8,631000.0,631000.0,124000.0,124000.0,15000.0,15170.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,-0.46,-0.606,,568.9645435,18360253681.0,106.7,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10.0,-1.43651,-1.385382,-1.597348,,,,,,2.0,2.5,2.5
AFG,Afghanistan,13.61,2014,169.0,0.5,3.5,3.0,3.0,3.2,3.5,2.0,3.0,2.8,2.0,3.0,3.0,2.5,2.0,2.5,1.5,4.0,3.5,2.5,2.0,2.7,3.5,2.8,805000.0,805409.0,156000.0,156193.0,13000.0,13125.0,0.0,0.0,,,,,,,,,,,,,21.57,,62.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,-0.46,-0.6779999999999999,,565.1792732999999,18860486755.0,106.5,10.0,9.4,8.7,8.3,7.5,7.8,9.5,9.0,8.3,8.8,9.3,9.9,-1.354829,-1.332015,-1.445761,,,,,,2.0,2.5,2.5
AFG,Afghanistan,13.97,2015,169.0,0.5,3.5,3.0,3.0,3.2,3.5,2.0,3.0,2.8,2.0,3.0,3.0,2.5,2.0,2.5,1.5,4.0,3.5,2.5,2.0,2.7,3.5,2.8,1174000.0,1174306.0,335000.0,335409.0,71000.0,70948.0,0.0,0.0,489749.0,248212.0,241537.0,34413.6,17686.17,16727.44,1.42,1.4,1.44,49.32,407953.0,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,-0.46,-0.6779999999999999,,556.0072209,19134211764.0,107.9,10.0,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,-1.342216,-1.3231760000000001,-1.504086,,,,,,2.0,2.5,2.5
AFG,Afghanistan,14.5,2016,169.0,0.502,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.8,2.0,3.0,3.0,2.5,2.5,2.6,1.5,4.0,3.5,2.5,2.0,2.7,3.5,2.8,1553000.0,1552707.0,653000.0,652594.0,7400.0,7394.0,0.0,0.0,,,,,,,,,,,,,37.5,,70.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,-0.46,-0.904,,552.9969077000001,19566705070.0,107.9,10.0,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,-1.5261719999999999,-1.226401,-1.498478,,,,,,2.0,2.5,2.5
AFG,Afghanistan,14.12,2017,169.0,0.506,,,,,,,,,,,,,,,,,,,,,,,1286000.0,1286483.0,474000.0,473892.0,27000.0,26871.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.085,-0.46,-0.835,,553.3550517000001,20084636379.0,107.3,10.0,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,-1.515626,-1.325545,-1.562423,,,,,,2.0,2.5,2.5
AFG,Afghanistan,14.55,2018,169.0,0.509,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.8,2.5,3.0,3.0,2.5,2.0,2.6,1.5,4.0,3.5,2.5,2.0,2.7,3.0,2.8,2598000.0,2597897.0,372000.0,371779.0,435000.0,435448.0,0.0,0.0,,,,,,,,,,,,,37.74,36.76,44.67,25.75,0.0,38.4,13.44,,33.04,91.44,0.0,44.77,0.0,71.78,77.11,24.88,26.62,0.0,,0.61,1.26,3.07,7.0,90.6,99.07,,,23.47,,53.62,50.1,67.66,82.88,100.0,0.0,44.77,,,,,,,,,,,,,,,,,,,-0.085,-0.46,-0.835,,546.7430101,20323488525.0,106.6,10.0,8.6,8.1,8.3,7.8,8.1,9.1,10.0,8.2,9.2,9.9,9.4,-1.487624,-1.453096,-1.6640380000000001,36.0,15.0,21,61.0,49,2.0,2.5,2.5
AFG,Afghanistan,13.86,2019,169.0,0.511,,,,,,,,,,,,,,,,,,,,,,,2993000.0,2993384.0,461000.0,460692.0,117000.0,116558.0,1198000.0,1198000.0,149762.0,74974.0,74788.0,38041.75,19529.73,18512.03,0.39,0.38,0.4,49.94,76146.0,50.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.142,-0.46,-0.835,,555.1389962999999,21118462797.0,105.0,10.0,8.6,7.8,8.6,7.5,7.8,9.0,9.8,7.9,9.3,9.6,9.1,-1.400733,-1.463065,-1.713714,16.0,11.0,11,33.0,15,2.0,2.5,2.5
AFG,Afghanistan,13.25,2020,,,3.5,3.0,3.0,3.2,3.5,2.0,3.0,2.8,2.5,3.5,3.0,2.5,3.0,2.9,1.5,4.0,4.0,2.5,2.0,2.8,3.0,2.9,3547000.0,3546858.0,404000.0,404139.0,46000.0,45845.0,1117000.0,1117000.0,144098.0,69189.0,74909.0,38928.34,19976.27,18952.08,0.37,0.35,0.4,51.98,72479.0,50.3,25.5,20.0,17.7,28.0,0.0,29.2,21.9,,22.2,0.0,0.0,51.0,7.3,25.4,,28.5,27.7,0.0,,0.6,1.3,18.0,5.0,90.7,95.0,,,,,,,,,,0.0,51.0,16.9,0.0,0.0,57.7,93.6,60.9,100.0,,0.0,66.1,,34.1,15.7,100.0,50.6,100.0,0.0,0.0,-1.4880000000000002,-0.46,-1.023,,529.7412103,20621946476.0,102.9,9.9,8.9,7.5,8.3,7.7,7.5,9.0,9.5,7.6,9.0,9.3,8.6,-1.4754049999999999,-1.523115,-1.807697,,,,,,2.0,2.5,2.5
ARM,Armenia,8.86,2010,81.0,0.747,4.5,5.0,5.0,4.8,5.0,4.5,4.5,4.7,4.5,5.0,4.5,5.0,4.0,4.6,3.5,4.5,4.5,4.5,3.0,4.0,3.5,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,211147.0,85669.0,125478.0,2877.32,1346.35,1530.96,7.34,6.36,8.2,59.43,3319.0,1.57,60.4,,65.31,,,,,,49.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.7830000000000001,30.0,2958.838999,8513508876.0,74.1,5.1,7.0,6.0,5.8,6.5,7.0,6.6,5.3,6.4,5.7,6.9,5.8,-0.6964903,-0.1839135,-0.488626,,,,,,3.0,4.0,3.0
